Dataset Name,Image File,Image Name
SupplementaryFigure08,MoNoc.Washout.Embryo3.mCherry.Cam_Right_00087.tif,MoNoc.Washout.Embryo3.pattern
SupplementaryFigure02,7min.embryo1.tif,embryo1.pattern
Figure01A,Embryo9.mCherry.Cam_Right_00123.tif,Embryo9.pattern
SupplementaryFigure01,Embryo9.mCherry.000041_00.tif,Embryo9.pattern
SupplementaryFigure08,NocMo.Washout.Embryo1.iRFP.Cam_Right_00084.tif,NocMo.Washout.Embryo1.pattern
Figure02,Embryo02.iRFP.Cam_Right_00265.tif,Embryo02.pattern
SupplementaryFigure01,Embryo18.mCherry.000006_00.tif,Embryo18.pattern
SupplementaryFigure01,Embryo7.iRFP.000018_00.tif,Embryo7.pattern
SupplementaryFigure05,Prometaphase3.Cam_Right_00000 (12)-Enhancement Filter_T050_Z004_C01.tif,Prometaphase3.pattern
SupplementaryFigure01,Embryo11.iRFP.000038_00.tif,Embryo11.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo1.mCherry.Cam_Right_00016.tif,NocMo.Nocodazole.Embryo1.pattern
Figure02,Embryo04.mCherry.Cam_Right_00272.tif,Embryo04.pattern
SupplementaryFigure05,Prometaphase2.Cam_Right_00000 (9)-Enhancement Filter_T013_Z004_C01.tif,Prometaphase2.pattern
SupplementaryFigure05,Metaphase1.Cam_Right_00000 (16)-Enhancement Filter 2_T059_Z004_C01.tif,Metaphase1.pattern
Figure01A,Embryo13.mCherry.Cam_Right_00297.tif,Embryo13.pattern
Figure02,Embryo03.iRFP.Cam_Right_00114.tif,Embryo03.pattern
SupplementaryFigure01,Embryo7.mCherry.000047_00.tif,Embryo7.pattern
Figure02,Embryo06.iRFP.Cam_Right_00226.tif,Embryo06.pattern
Figure02,Embryo10.mCherry.Cam_Right_00004.tif,Embryo10.pattern
Figure03,Embryo16.Position_0.stack_0.EGFP.Cam_Right_00079.tif,Embryo16.pattern
Figure02,Embryo11.mCherry.Cam_Right_00131.tif,Embryo11.pattern
Figure02,Embryo02.EGFP.Cam_Right_00206.tif,Embryo02.pattern
Figure01A,Embryo9.EGFP.Cam_Right_00053.tif,Embryo9.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo3.mCherry.Cam_Right_00040.tif,MoNoc.Washout.Embryo3.pattern
SupplementaryFigure06H,04_Cell_Stage.Embryo22.EGFP.000000_00.tif,04_Cell_Stage.Embryo22.pattern
Figure01A,Embryo7.EGFP.Cam_Right_00096.tif,Embryo7.pattern
Figure02,Embryo12.mCherry.Cam_Right_00046.tif,Embryo12.pattern
SupplementaryFigure08,NocMo.Washout.Embryo2.EGFP.Cam_Right_00045.tif,NocMo.Washout.Embryo2.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo2.mCherry.Cam_Right_00055.tif,NocMo.Nocodazole.Embryo2.pattern
Figure02,Embryo01.EGFP.Cam_Right_00269.tif,Embryo01.pattern
Figure02,Embryo03.EGFP.Cam_Right_00226.tif,Embryo03.pattern
Figure03,Embryo18.Position_0.stack_0.mCherry.Cam_Right_00091.tif,Embryo18.pattern
SupplementaryFigure01,Embryo8.iRFP.000004_00.tif,Embryo8.pattern
